inv_date,inv_total,Forecast(inv_total),Lower Confidence Bound(inv_total),Upper Confidence Bound(inv_total),,Statistic,Value
2/12/2013 0:00,47.96,,,,,Alpha,0.10
2/13/2013 0:00,64.50222222,,,,,Beta,0.00
2/14/2013 0:00,81.04444444,,,,,Gamma,0.00
2/15/2013 0:00,97.58666667,,,,,MASE,1.21
2/16/2013 0:00,114.1288889,,,,,SMAPE,0.25
2/17/2013 0:00,130.6711111,,,,,MAE,417.96
2/18/2013 0:00,147.2133333,,,,,RMSE,544.65
2/19/2013 0:00,163.7555556,,,,,,
2/20/2013 0:00,180.2977778,,,,,,
2/21/2013 0:00,196.84,,,,,,
2/22/2013 0:00,191.308,,,,,,
2/23/2013 0:00,185.776,,,,,,
2/24/2013 0:00,180.244,,,,,,
2/25/2013 0:00,174.712,,,,,,
2/26/2013 0:00,169.18,,,,,,
2/27/2013 0:00,163.648,,,,,,
2/28/2013 0:00,158.116,,,,,,
3/1/2013 0:00,152.584,,,,,,
3/2/2013 0:00,147.052,,,,,,
3/3/2013 0:00,141.52,,,,,,
3/4/2013 0:00,157.4525,,,,,,
3/5/2013 0:00,173.385,,,,,,
3/6/2013 0:00,189.3175,,,,,,
3/7/2013 0:00,205.25,,,,,,
3/8/2013 0:00,231.5757143,,,,,,
3/9/2013 0:00,257.9014286,,,,,,
3/10/2013 0:00,284.2271429,,,,,,
3/11/2013 0:00,310.5528571,,,,,,
3/12/2013 0:00,336.8785714,,,,,,
3/13/2013 0:00,363.2042857,,,,,,
3/14/2013 0:00,389.53,,,,,,
3/15/2013 0:00,362.61,,,,,,
3/16/2013 0:00,335.368,,,,,,
3/17/2013 0:00,308.126,,,,,,
3/18/2013 0:00,280.884,,,,,,
3/19/2013 0:00,253.642,,,,,,
3/20/2013 0:00,226.4,,,,,,
3/21/2013 0:00,123.73,,,,,,
3/22/2013 0:00,114.6833333,,,,,,
3/23/2013 0:00,105.6366667,,,,,,
3/24/2013 0:00,96.59,,,,,,
3/25/2013 0:00,140.69,,,,,,
3/26/2013 0:00,184.79,,,,,,
3/27/2013 0:00,228.89,,,,,,
3/28/2013 0:00,340.1725,,,,,,
3/29/2013 0:00,451.455,,,,,,
3/30/2013 0:00,562.7375,,,,,,
3/31/2013 0:00,674.02,,,,,,
4/1/2013 0:00,537.78,,,,,,
4/2/2013 0:00,401.54,,,,,,
4/3/2013 0:00,21.99,,,,,,
4/4/2013 0:00,91.3975,,,,,,
4/5/2013 0:00,160.805,,,,,,
4/6/2013 0:00,230.2125,,,,,,
4/7/2013 0:00,299.62,,,,,,
4/8/2013 0:00,401.68,,,,,,
4/9/2013 0:00,149.76,,,,,,
4/10/2013 0:00,141.18,,,,,,
4/11/2013 0:00,132.6,,,,,,
4/12/2013 0:00,124.02,,,,,,
4/13/2013 0:00,344.31,,,,,,
4/14/2013 0:00,266.6275,,,,,,
4/15/2013 0:00,188.945,,,,,,
4/16/2013 0:00,111.2625,,,,,,
4/17/2013 0:00,33.58,,,,,,
4/18/2013 0:00,290.68,,,,,,
4/19/2013 0:00,547.78,,,,,,
4/20/2013 0:00,628.02,,,,,,
4/21/2013 0:00,552.94,,,,,,
4/22/2013 0:00,477.86,,,,,,
4/23/2013 0:00,402.78,,,,,,
4/24/2013 0:00,343.97,,,,,,
4/25/2013 0:00,285.16,,,,,,
4/26/2013 0:00,103.54,,,,,,
4/27/2013 0:00,372.32,,,,,,
4/28/2013 0:00,384.66,,,,,,
4/29/2013 0:00,397,,,,,,
4/30/2013 0:00,225.275,,,,,,
5/1/2013 0:00,53.55,,,,,,
5/2/2013 0:00,307.33,,,,,,
